id,area_id,google_places_id,google_places_name,name,address,phone_number,url,google_maps_url,mon_opening_hours,tue_opening_hours,wed_opening_hours,thu_opening_hours,fri_opening_hours,sat_opening_hours,sun_opening_hours,latitude,longitude
1,1,ChIJT6zmuRhxA2ARF5_8ySFjEbY,places/ChIJT6zmuRhxA2ARF5_8ySFjEbY,カラオケまねきねこ 栄三丁目店,愛知県名古屋市中区栄３丁目２−３２ 第三東洋ビル,052-253-5231,https://www.karaokemanekineko.jp/locations/?id=667,https://maps.google.com/?cid=13119376186280812311,月曜日: 24 時間営業,火曜日: 24 時間営業,水曜日: 24 時間営業,木曜日: 24 時間営業,金曜日: 24 時間営業,土曜日: 24 時間営業,日曜日: 24 時間営業,35.167919,136.903726
2,1,ChIJPX6VddVwA2ARFKQKnJA_Tjk,places/ChIJPX6VddVwA2ARFKQKnJA_Tjk,カラオケまねきねこ 名古屋錦店,愛知県名古屋市中区錦３丁目８−12 1~3F,052-265-6655,https://www.karaokemanekineko.jp/locations/?id=582,https://maps.google.com/?cid=4129307798671107092,"月曜日: 0時00分～7時00分, 11時00分～7時00分",火曜日: 11時00分～7時00分,水曜日: 11時00分～7時00分,木曜日: 11時00分～7時00分,金曜日: 11時00分～0時00分,土曜日: 24 時間営業,日曜日: 24 時間営業,35.172244,136.905208
3,2,ChIJM6HZPAB3A2AR-ql9RZ-fYHA,places/ChIJM6HZPAB3A2AR-ql9RZ-fYHA,カラオケまねきねこ 名駅四丁目２号店,愛知県名古屋市中村区名駅４丁目１０−２２ 琥珀ビル 5F,052-561-5177,https://www.karaokemanekineko.jp/locations/?id=900,https://maps.google.com/?cid=8097647636426631674,月曜日: 24 時間営業,火曜日: 24 時間営業,水曜日: 24 時間営業,木曜日: 24 時間営業,金曜日: 24 時間営業,土曜日: 24 時間営業,日曜日: 24 時間営業,35.169549,136.88605
4,2,ChIJWbFsrhd3A2AREOJhbUcDMZg,places/ChIJWbFsrhd3A2AREOJhbUcDMZg,カラオケまねきねこ 名駅四丁目店,愛知県名古屋市中村区名駅４丁目１１−１ コレクトマーク名駅4丁目 11F 四丁目9,052-526-8192,https://www.karaokemanekineko.jp/locations/?id=760,https://maps.google.com/?cid=10966550172936561168,月曜日: 24 時間営業,火曜日: 24 時間営業,水曜日: 24 時間営業,木曜日: 24 時間営業,金曜日: 24 時間営業,土曜日: 24 時間営業,日曜日: 24 時間営業,35.170339,136.887195
5,3,ChIJPf5QUx5xA2ARJs4ZlRRV6A0,places/ChIJPf5QUx5xA2ARJs4ZlRRV6A0,カラオケまねきねこ 金山駅前店,愛知県名古屋市中区金山２丁目１６−２３ ＮＳビル,052-265-6505,https://www.karaokemanekineko.jp/locations/?id=792,https://maps.google.com/?cid=1002144463979138598,月曜日: 24 時間営業,火曜日: 24 時間営業,水曜日: 24 時間営業,木曜日: 24 時間営業,金曜日: 24 時間営業,土曜日: 24 時間営業,日曜日: 24 時間営業,35.144821,136.903027
6,3,ChIJSwUR1MRwA2ARTfmMrEnBzTc,places/ChIJSwUR1MRwA2ARTfmMrEnBzTc,カラオケまねきねこ 新栄店,愛知県名古屋市中区新栄１丁目１−２１,052-253-6777,https://www.karaokemanekineko.jp/locations/?id=422,https://maps.google.com/?cid=4021082564483414349,"月曜日: 0時00分～5時00分, 12時00分～5時00分",火曜日: 12時00分～5時00分,水曜日: 12時00分～5時00分,木曜日: 12時00分～5時00分,金曜日: 12時00分～0時00分,土曜日: 24 時間営業,日曜日: 24 時間営業,35.168391,136.915227
7,3,ChIJk5f_3Ld3A2ARAiI_eGAIO7k,places/ChIJk5f_3Ld3A2ARAiI_eGAIO7k,カラオケまねきねこ 名古屋中川店,愛知県名古屋市中川区中郷２丁目１５０,052-365-3060,https://www.karaokemanekineko.jp/locations/?id=258,https://maps.google.com/?cid=13347271131069882882,月曜日: 24 時間営業,火曜日: 24 時間営業,水曜日: 24 時間営業,木曜日: 24 時間営業,金曜日: 24 時間営業,土曜日: 24 時間営業,日曜日: 24 時間営業,35.138994,136.845127
8,4,ChIJNXgtRYtwA2AR0tUgtJ8j04k,places/ChIJNXgtRYtwA2AR0tUgtJ8j04k,カラオケまねきねこ 今池店,愛知県名古屋市千種区今池５丁目１−５ 名古屋センタープラザビル B1F,052-734-2011,https://www.karaokemanekineko.jp/locations/?id=427,https://maps.google.com/?cid=9931320772110898642,月曜日: 24 時間営業,火曜日: 24 時間営業,水曜日: 24 時間営業,木曜日: 24 時間営業,金曜日: 24 時間営業,土曜日: 24 時間営業,日曜日: 24 時間営業,35.168705,136.937469
9,5,ChIJ3xdde_xvA2AREzSFchlIGVQ,places/ChIJ3xdde_xvA2AREzSFchlIGVQ,カラオケまねきねこ 名古屋名東店,愛知県名古屋市名東区八前３丁目１１７,052-760-5599,https://www.karaokemanekineko.jp/locations/?id=190,https://maps.google.com/?cid=6059954047736427539,月曜日: 9時00分～2時00分,火曜日: 9時00分～2時00分,水曜日: 9時00分～2時00分,木曜日: 9時00分～2時00分,金曜日: 9時00分～5時00分,土曜日: 9時00分～5時00分,日曜日: 9時00分～2時00分,35.178723,136.984838
10,8,ChIJnZkhxpymA2AR1cE13lwVIdE,places/ChIJnZkhxpymA2AR1cE13lwVIdE,カラオケまねきねこ 尾西店,愛知県一宮市小信中島仁井西８−４,0586-63-1123,https://www.karaokemanekineko.jp/locations/?id=271,https://maps.google.com/?cid=15069349316767629781,月曜日: 24 時間営業,火曜日: 24 時間営業,水曜日: 24 時間営業,木曜日: 24 時間営業,金曜日: 24 時間営業,土曜日: 24 時間営業,日曜日: 24 時間営業,35.310739,136.75134
11,8,ChIJkfhlVqGgA2ARGnnAIGKKSEI,places/ChIJkfhlVqGgA2ARGnnAIGKKSEI,カラオケまねきねこ 一宮緑店,愛知県一宮市緑４丁目１−１,0586-26-4711,https://www.karaokemanekineko.jp/locations/?id=245,https://maps.google.com/?cid=4776219558887323930,月曜日: 24 時間営業,火曜日: 24 時間営業,水曜日: 24 時間営業,木曜日: 24 時間営業,金曜日: 24 時間営業,土曜日: 24 時間営業,日曜日: 24 時間営業,35.301415,136.820549
